player, doubleMill, number3Connect, number2Connect, score
2,False,0,0,3
1,False,0,1,17
1,False,1,7,-2
2,False,1,8,-2
2,False,0,1,4
2,False,0,0,4
1,False,0,0,0
1,False,1,6,12
1,False,1,5,-11
2,False,0,4,4
2,False,1,8,-12
2,False,3,15,7
2,False,0,0,4
1,False,3,14,-8
1,False,0,0,2
1,False,1,7,11
2,False,0,1,-4
1,False,0,0,0
1,False,0,1,-5
2,False,0,1,5
2,True,1,7,12
2,False,1,5,-13
2,False,0,1,-1
1,True,2,9,11
1,False,0,4,-3
2,False,0,0,-2
1,False,1,4,0
1,False,0,8,-1
1,False,1,5,-4
1,True,3,14,10
2,False,0,2,2
2,True,7,24,4
2,False,0,3,-2
1,False,0,1,0
1,False,0,6,2
1,False,0,1,17
2,False,0,1,-7
1,False,0,0,-6
2,True,1,4,17
1,False,2,9,13
2,False,2,10,12
1,False,2,6,-4
2,False,2,10,13
1,False,0,0,0
2,False,0,4,4
1,False,0,1,3
2,False,0,2,-2
2,False,0,1,0
1,True,2,6,14
1,False,1,9,0
1,True,1,4,13
1,False,0,4,1
2,False,1,4,4
1,False,2,17,6
2,False,0,0,2
2,False,0,7,-13
2,False,0,1,0
1,False,1,12,10
1,False,2,10,11
2,False,0,1,12
2,False,0,1,-2
2,True,1,10,11
2,False,1,11,-10
2,False,0,5,-2
2,False,0,2,5
2,False,0,1,3
2,True,3,8,12
1,False,0,7,12
1,False,0,1,0
1,False,0,2,2
2,False,0,4,-3
2,False,0,2,2
2,False,0,0,-3
2,False,0,1,-2
1,False,3,13,-9
1,False,0,1,3
2,False,1,7,13
2,False,0,3,12
2,False,1,5,-2
1,False,0,4,13
2,False,1,6,0
1,False,0,10,-12
2,False,0,1,3
2,False,3,14,11
2,False,2,12,-1
2,False,0,5,-3
1,False,0,1,3
2,False,4,13,-10
2,False,0,4,7
1,False,1,7,13
2,False,0,1,-2
1,False,0,1,0
2,False,1,11,12
1,False,1,6,15
2,False,0,1,2
1,False,0,2,2
1,False,2,11,-1
2,False,1,9,-11
2,False,1,9,11
2,False,0,3,2
2,False,2,7,15
1,False,0,3,5
1,False,0,4,2
1,False,1,5,10
2,False,1,4,-4
1,False,0,1,0
2,False,1,2,13
2,False,2,9,12
1,False,1,9,12
2,False,0,1,-3
1,True,2,8,11
1,False,1,12,-10
